filename,max_eye_temp,ambient_temp,label
FLIR0407.jpg,38.33,20.0,0
FLIR0388.jpg,38.83,20.0,0
FLIR0383.jpg,39.11,20.0,0
FLIR0403.jpg,39.8,20.0,0
FLIR0390.jpg,38.43,20.0,0
FLIR0406.jpg,39.97,20.0,0
FLIR0385.jpg,44.56,20.0,0
FLIR0381.jpg,39.58,20.0,0
FLIR0401.jpg,38.61,20.0,0
FLIR0404.jpg,39.8,20.0,0
FLIR0408.jpg,39.71,20.0,0
FLIR0394.jpg,47.65,20.0,0
FLIR0392.jpg,38.1,20.0,0
FLIR0402.jpg,39.8,20.0,0
FLIR0399.jpg,39.59,20.0,0
FLIR0382.jpg,39.81,20.0,0
FLIR0398.jpg,39.53,20.0,0
FLIR0410.jpg,53.74,20.0,0
FLIR0409.jpg,38.34,20.0,0
FLIR0391.jpg,38.32,20.0,0
FLIR0395.jpg,40.45,20.0,0
FLIR0384.jpg,46.87,20.0,0
FLIR0396.jpg,40.7,20.0,0
FLIR0405.jpg,40.05,20.0,0
FLIR0397.jpg,41.62,20.0,0
FLIR0389.jpg,38.44,20.0,0
FLIR0400.jpg,39.51,20.0,0
FLIR0387.jpg,39.11,20.0,0
FLIR0393.jpg,38.7,20.0,0
FLIR0386.jpg,43.5,20.0,0
